30,15
20,72
72,88
58,77
92,80
286,544
985,716
839,433
471,561
269,749
1888,1224
3164,6996
6253,5431
4390,2874
5017,7615
76241,57606
74766,64553
12322,50440
34726,92155
14785,19817
672270,431511
694404,256785
975922,532283
279392,946230
906443,392685
2226412,8648878
6061228,5546440
1691980,1414558
3234496,7268362
8356954,3705742
81786288,61052652
21535993,91675657
26586591,78851391
68575643,45017255
45991767,77583796
459917672,775837965
265865917,788513914
685756433,450172557
785756437,102475659
504857673,354879547
4737418245,9465215337
7384184877,6565315335
6531741823,8795491761
5865583711,9535851393
6954464645,8017257569
84184418245,65310172575
58659151391,85756451391
57564301725,74851857673
59917672487,88512663377
65315344641,98418485851
789176724879,659151396733
659117416437,946585181391
653184188245,758331017965
841818235337,767318488245
953525754641,658518571823
